TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612739,Cleveland Cavaliers,20,14,6,0.7,975.0,104.0,106.6,100.3,102.2,3.6,4.4,0.519,1.39,14.2,0.327,0.728,0.527,0.139,0.479,0.524,93.5,91.47,76.23,1857,0.519,2,2,12,2,2,5,4,2,14,16,15,2,2,1,10,10,8,15,4,2014-15
1610612744,Golden State Warriors,21,16,5,0.762,1023.0,106.4,107.1,97.4,98.8,9.0,8.2,0.642,1.68,18.3,0.285,0.707,0.501,0.152,0.521,0.55,96.1,95.13,79.28,2026,0.547,1,1,10,1,1,3,1,1,2,6,1,6,11,6,14,1,1,5,1,2014-15
1610612739,Cleveland Cavaliers,21,16,5,0.762,1008.0,112.5,114.6,103.5,105.2,9.0,9.5,0.554,1.7,16.8,0.307,0.745,0.528,0.137,0.544,0.573,93.0,91.4,76.17,1919,0.551,2,1,10,1,2,1,8,1,7,6,5,3,2,2,7,1,1,11,2,2015-16
1610612744,Golden State Warriors,24,15,9,0.625,1157.0,108.4,109.7,102.1,105.1,6.3,4.5,0.624,1.74,17.9,0.275,0.676,0.482,0.143,0.529,0.562,99.8,97.83,81.52,2357,0.535,1,2,15,2,1,4,7,4,1,5,2,7,14,11,10,3,2,3,5,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,864.0,118.1,119.9,108.3,111.8,9.7,8.1,0.539,1.69,16.9,0.269,0.704,0.497,0.135,0.579,0.614,99.2,96.89,80.74,1745,0.538,1,2,10,2,2,1,11,2,11,4,4,9,12,9,6,1,1,7,2,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,816.0,116.3,118.2,102.8,105.3,13.6,12.9,0.658,2.07,20.0,0.278,0.732,0.522,0.135,0.567,0.608,102.7,100.68,83.9,1716,0.588,3,1,1,1,3,2,2,1,2,1,2,8,8,4,7,2,2,2,1,2016-17
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,106.5,108.3,108.5,111.1,-2.0,-2.8,0.522,1.52,15.3,0.289,0.744,0.513,0.136,0.512,0.55,94.0,92.13,76.77,2055,0.483,1,2,16,5,1,8,11,10,13,12,12,2,8,2,6,11,8,15,10,2017-18
1610612744,Golden State Warriors,21,16,5,0.762,1013.0,111.9,112.7,100.5,102.0,11.4,10.7,0.632,2.03,19.2,0.255,0.732,0.508,0.131,0.545,0.581,98.8,97.73,81.44,2058,0.572,2,1,10,1,2,1,1,1,3,1,1,9,11,3,4,2,2,8,1,2017-18
1610612744,Golden State Warriors,22,14,8,0.636,1066.0,112.3,114.6,108.6,111.5,3.7,3.1,0.691,1.91,20.0,0.301,0.714,0.513,0.15,0.548,0.589,100.9,98.57,82.14,2192,0.536,2,2,14,3,2,1,11,4,1,5,1,4,11,5,11,1,1,9,3,2018-19
1610612761,Toronto Raptors,24,16,8,0.667,1162.0,107.9,109.8,101.4,104.2,6.5,5.6,0.598,1.87,17.2,0.239,0.719,0.483,0.124,0.515,0.561,98.4,96.25,80.21,2330,0.524,1,1,14,1,1,7,4,2,10,6,6,14,9,12,4,4,4,12,4,2018-19
1610612747,Los Angeles Lakers,21,16,5,0.762,1008.0,113.2,115.6,106.4,108.7,6.9,6.9,0.624,1.67,18.7,0.304,0.76,0.534,0.158,0.561,0.595,99.6,97.52,81.27,2049,0.548,1,1,10,1,2,2,6,1,5,6,1,2,7,2,15,2,2,11,1,2019-20
1610612748,Miami Heat,21,14,7,0.667,1018.0,111.0,112.7,108.8,110.8,2.2,1.9,0.66,1.89,18.7,0.243,0.731,0.493,0.135,0.537,0.587,98.2,96.57,80.47,2049,0.521,1,2,13,2,1,4,8,6,2,2,2,10,11,8,7,6,3,12,3,2019-20
1610612749,Milwaukee Bucks,23,16,7,0.696,1114.0,110.1,112.2,105.3,106.8,4.8,5.3,0.542,1.79,16.7,0.31,0.765,0.531,0.13,0.524,0.55,99.1,97.51,81.26,2262,0.531,1,1,13,1,1,11,1,3,10,9,6,2,3,1,11,9,12,6,5,2020-21
1610612756,Phoenix Suns,22,14,8,0.636,1056.0,112.2,113.2,107.4,109.0,4.8,4.2,0.568,1.95,17.9,0.234,0.725,0.494,0.124,0.547,0.585,97.3,96.09,80.08,2118,0.536,2,2,14,2,2,10,3,5,4,3,3,15,9,10,7,6,6,11,3,2020-21
1610612738,Boston Celtics,24,14,10,0.583,1152.0,108.1,110.3,103.9,106.3,4.2,3.9,0.667,1.67,18.5,0.271,0.713,0.5,0.154,0.533,0.574,97.9,95.79,79.83,2297,0.529,1,2,16,3,1,9,2,2,1,8,3,10,10,7,11,7,8,7,2,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,1056.0,112.4,114.5,107.3,109.6,5.1,4.9,0.653,1.86,19.6,0.283,0.731,0.515,0.149,0.561,0.59,99.6,97.61,81.34,2150,0.53,2,1,10,1,2,4,6,1,2,4,1,7,7,6,9,2,4,5,1,2021-22
1610612743,Denver Nuggets,20,16,4,0.8,965.0,116.7,118.2,108.0,110.2,8.7,8.0,0.609,2.22,19.1,0.3,0.762,0.538,0.121,0.557,0.593,96.8,95.18,79.32,1919,0.553,2,1,1,1,2,1,4,1,4,1,2,5,4,1,2,3,2,10,1,2022-23
1610612748,Miami Heat,23,13,10,0.565,1109.0,110.5,113.8,110.3,111.9,0.2,1.9,0.593,2.01,17.9,0.272,0.708,0.487,0.123,0.531,0.567,97.0,94.87,79.06,2189,0.498,1,2,16,3,1,7,8,4,9,4,8,11,8,11,3,5,7,11,6,2022-23
1610612738,Boston Celtics,19,16,3,0.842,917.0,115.6,116.8,106.0,108.2,9.5,8.6,0.605,2.07,18.4,0.276,0.762,0.521,0.123,0.555,0.589,94.0,92.6,77.16,1769,0.55,2,1,1,1,2,4,3,1,5,5,4,9,2,4,5,2,2,12,1,2023-24
1610612742,Dallas Mavericks,22,13,9,0.591,1056.0,111.9,113.3,108.6,110.7,3.2,2.6,0.544,1.68,16.4,0.298,0.722,0.514,0.134,0.54,0.569,94.9,93.48,77.9,2058,0.509,1,2,15,3,1,7,5,5,15,12,12,7,7,6,12,4,8,9,5,2023-24
