TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612753,Orlando Magic,82,59,23,0.72,48.1,35.7,78.2,0.457,10.0,26.2,0.381,19.6,27.5,0.715,10.0,33.3,43.3,19.4,13.9,7.0,5.4,3.8,20.3,22.4,101.0,6.7,1,4,4,4,27,26,26,17,2,2,7,10,4,30,27,1,3,29,12,22,6,2,10,6,10,4,2008-09
1610612738,Boston Celtics,82,50,32,0.61,48.2,37.1,76.8,0.483,6.1,17.5,0.348,19.0,25.5,0.746,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7,99.2,3.7,1,9,9,9,17,21,30,4,16,16,17,15,10,21,30,25,29,2,21,2,15,15,22,8,19,9,2009-10
1610612747,Los Angeles Lakers,82,57,25,0.695,48.4,38.3,83.8,0.457,6.5,19.0,0.341,18.5,24.2,0.765,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2,101.7,4.7,1,3,3,3,12,9,7,18,13,10,24,17,17,12,4,4,2,15,6,11,16,9,4,12,12,6,2009-10
1610612742,Dallas Mavericks,82,57,25,0.695,48.1,37.4,78.8,0.475,7.9,21.6,0.365,17.5,22.6,0.777,9.5,31.9,41.4,23.8,14.0,6.8,4.3,3.7,19.2,20.1,100.2,4.2,1,4,4,4,29,13,24,5,8,5,11,24,27,8,28,6,14,2,12,23,24,2,4,23,11,8,2010-11
1610612748,Miami Heat,82,58,24,0.707,48.2,37.0,76.8,0.481,6.7,18.0,0.37,21.5,27.9,0.769,9.6,32.5,42.1,20.0,13.9,6.6,5.2,3.0,20.4,21.8,102.1,7.5,1,3,3,3,20,19,29,2,11,15,7,3,3,12,27,2,9,26,11,26,9,1,14,5,8,1,2010-11
1610612748,Miami Heat,66,46,20,0.697,48.6,37.1,79.0,0.469,5.6,15.6,0.359,18.8,24.2,0.775,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,20.5,98.5,6.0,1,4,4,4,6,12,26,4,20,23,10,6,8,7,24,12,21,21,23,3,10,3,14,8,7,4,2011-12
1610612760,Oklahoma City Thunder,66,47,19,0.712,48.5,37.3,79.2,0.471,7.2,20.0,0.358,21.3,26.4,0.806,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20.0,103.1,6.1,1,3,3,3,8,11,25,3,12,12,11,1,2,1,19,3,6,30,30,16,1,13,23,11,3,3,2011-12
1610612748,Miami Heat,82,66,16,0.805,48.5,38.4,77.4,0.496,8.7,22.1,0.396,17.4,23.0,0.754,8.2,30.4,38.6,23.0,13.9,8.7,5.4,3.2,18.7,20.4,102.9,7.9,1,1,1,1,5,5,30,1,3,6,2,12,10,16,28,16,30,7,4,3,10,1,8,10,5,2,2012-13
1610612759,San Antonio Spurs,82,58,24,0.707,48.5,39.1,81.4,0.481,8.1,21.5,0.376,16.6,21.0,0.791,8.1,33.2,41.3,25.1,14.7,8.5,5.4,4.9,17.4,19.1,103.0,6.4,1,3,3,3,5,2,19,2,7,7,4,15,21,3,29,4,21,1,17,6,9,16,1,23,4,4,2012-13
1610612748,Miami Heat,82,54,28,0.659,48.5,38.3,76.5,0.501,8.1,22.3,0.364,17.5,23.0,0.76,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,102.2,4.8,1,5,5,5,7,12,30,1,14,15,12,15,17,14,30,30,30,11,16,2,18,1,8,16,12,5,2013-14
1610612759,San Antonio Spurs,82,62,20,0.756,48.2,40.6,83.5,0.486,8.5,21.4,0.397,15.7,20.0,0.785,9.3,34.0,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,105.4,7.7,1,1,1,1,25,1,13,2,12,16,1,27,30,4,26,4,12,1,11,20,9,15,2,25,6,1,2013-14
1610612739,Cleveland Cavaliers,82,53,29,0.646,48.2,37.7,82.2,0.458,10.1,27.5,0.367,17.7,23.6,0.751,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,103.1,4.5,1,7,7,7,23,15,24,8,4,2,5,9,12,18,11,21,18,10,17,19,25,10,5,11,8,5,2014-15
1610612744,Golden State Warriors,82,67,15,0.817,48.1,41.6,87.0,0.478,10.8,27.0,0.398,16.0,20.8,0.768,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,19.9,18.8,110.0,10.1,1,1,1,1,26,1,3,1,2,4,1,23,26,9,23,4,6,1,18,4,2,2,13,27,1,1,2014-15
1610612739,Cleveland Cavaliers,82,57,25,0.695,48.4,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,1,3,3,3,9,8,19,10,2,3,7,26,24,21,12,11,9,13,10,28,27,7,14,12,8,4,2015-16
1610612744,Golden State Warriors,82,73,9,0.89,48.5,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,0.763,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,114.9,10.8,1,1,1,1,5,1,3,1,1,1,1,22,23,16,21,1,4,1,24,9,2,3,19,19,1,1,2015-16
1610612739,Cleveland Cavaliers,82,51,31,0.622,48.5,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,1,5,5,5,4,5,19,5,2,2,2,19,13,23,21,7,12,13,14,30,25,8,4,6,4,7,2016-17
