TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612739,Cleveland Cavaliers,82,57,25,0.695,3971.0,108.1,110.2,102.3,103.9,5.8,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,95.5,93.82,78.19,7764,0.528,1,3,3,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5,2015-16
1610612744,Golden State Warriors,82,73,9,0.89,3976.0,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,1,1,1,5,1,6,2,1,1,1,22,15,11,18,1,1,2,2,2015-16
1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,110.9,112.8,108.0,109.7,2.9,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,98.4,96.74,80.61,8019,0.51,1,5,5,5,4,3,21,7,20,16,15,21,14,18,11,2,3,16,9,2016-17
1610612744,Golden State Warriors,82,67,15,0.817,3956.0,113.2,114.8,101.1,103.4,12.1,11.4,0.705,2.06,21.2,0.272,0.709,0.504,0.146,0.563,0.597,102.2,100.37,83.65,8279,0.579,1,1,1,1,18,1,2,1,1,1,1,17,27,10,20,1,1,4,1,2016-17
1610612739,Cleveland Cavaliers,82,50,32,0.61,3946.0,110.6,112.0,109.5,111.1,1.0,1.0,0.579,1.7,17.5,0.243,0.73,0.492,0.139,0.547,0.584,100.1,98.72,82.27,8114,0.502,1,6,6,6,23,5,29,14,20,8,9,28,16,24,9,3,3,9,17,2017-18
1610612744,Golden State Warriors,82,58,24,0.707,3946.0,112.3,112.8,104.2,106.8,8.1,5.9,0.685,1.9,20.9,0.243,0.712,0.497,0.153,0.569,0.603,101.8,100.35,83.63,8251,0.554,1,3,3,3,23,3,11,3,1,1,1,27,29,19,25,1,1,5,1,2017-18
1610612744,Golden State Warriors,82,57,25,0.695,3961.0,113.9,115.0,106.5,108.6,7.5,6.5,0.668,2.06,20.4,0.257,0.727,0.505,0.139,0.565,0.596,103.2,101.74,84.78,8390,0.546,1,3,3,3,15,1,11,2,1,1,1,23,17,10,16,1,1,10,2,2018-19
1610612761,Toronto Raptors,82,58,24,0.707,3976.0,110.9,112.6,104.3,106.8,6.5,5.8,0.603,1.81,18.2,0.265,0.726,0.502,0.138,0.543,0.579,102.5,100.51,83.76,8334,0.533,1,2,2,2,4,5,5,3,14,13,11,19,18,13,14,3,4,15,4,2018-19
1610612747,Los Angeles Lakers,71,52,19,0.732,3418.0,109.6,111.7,103.8,106.1,5.8,5.6,0.6,1.67,18.0,0.283,0.737,0.512,0.149,0.542,0.573,103.3,101.2,84.33,7211,0.539,21,3,2,3,22,11,3,5,15,14,10,6,11,6,23,5,9,11,2,2019-20
1610612748,Miami Heat,73,44,29,0.603,3549.0,110.0,111.9,107.2,109.3,2.8,2.7,0.657,1.74,18.8,0.257,0.753,0.512,0.149,0.547,0.587,100.5,98.7,82.25,7306,0.525,3,8,11,11,3,7,12,7,3,10,4,23,3,5,22,3,1,27,6,2019-20
1610612749,Milwaukee Bucks,72,46,26,0.639,3466.0,114.7,116.5,109.1,110.7,5.5,5.8,0.569,1.84,18.0,0.269,0.755,0.519,0.134,0.566,0.593,104.4,102.85,85.71,7423,0.533,1,7,7,7,22,5,9,4,25,13,13,13,4,5,13,2,5,2,4,2020-21
1610612756,Phoenix Suns,72,51,21,0.708,3496.0,114.9,116.3,108.8,110.4,6.1,5.9,0.622,2.15,19.6,0.248,0.741,0.5,0.126,0.564,0.597,99.3,98.0,81.67,7137,0.534,1,2,2,2,1,7,6,3,9,1,1,25,11,14,4,3,3,24,3,2020-21
1610612738,Boston Celtics,82,51,31,0.622,3981.0,112.1,113.6,104.0,106.2,8.1,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,99.0,97.26,81.05,8068,0.547,1,6,6,6,2,9,1,2,14,11,10,11,16,10,13,9,9,24,2,2021-22
1610612744,Golden State Warriors,82,53,29,0.646,3946.0,110.5,112.1,103.9,106.6,6.5,5.5,0.669,1.82,19.5,0.269,0.736,0.51,0.15,0.552,0.582,100.7,98.74,82.28,8121,0.536,1,3,3,3,24,16,2,4,1,12,3,15,6,8,29,3,4,15,3,2021-22
1610612743,Denver Nuggets,82,53,29,0.646,3951.0,115.0,116.8,111.7,113.5,3.3,3.3,0.663,1.99,20.5,0.289,0.727,0.514,0.147,0.573,0.601,100.3,98.74,82.28,8129,0.525,1,4,4,4,25,5,15,6,2,5,1,12,11,4,23,1,3,24,3,2022-23
1610612748,Miami Heat,82,44,38,0.537,3961.0,110.4,112.3,110.6,112.8,-0.2,-0.5,0.608,1.77,17.8,0.274,0.733,0.498,0.138,0.53,0.574,98.6,96.76,80.63,7991,0.496,1,11,11,11,18,25,9,21,14,21,21,18,4,18,13,25,21,29,22,2022-23
1610612738,Boston Celtics,82,64,18,0.78,3966.0,120.2,122.2,109.0,110.6,11.2,11.7,0.613,2.25,19.3,0.287,0.726,0.515,0.121,0.578,0.609,99.5,97.98,81.65,8090,0.555,1,1,1,1,7,1,2,1,21,3,13,14,7,5,1,2,1,19,1,2023-24
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,115.2,117.0,112.6,114.9,2.6,2.1,0.596,2.05,18.5,0.257,0.711,0.485,0.124,0.562,0.592,102.4,100.6,83.83,8263,0.506,1,6,6,6,26,8,18,15,26,10,20,25,21,26,4,7,9,7,16,2023-24
