TEAM_ID,TEAM_NAME,W_PCT,SEASON,FG3M_RANK,FG3A_RANK,FG3_PCT,PLUS_MINUS,NET_RATING,PACE,TS_PCT,EFG_PCT_x,AST_RATIO,OREB_PCT_x,DREB_PCT,REB_PCT,TM_TOV_PCT_x,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,FTA_RATE,EFG_PCT_y,OREB_PCT_y,TM_TOV_PCT_y,WON_FINALS
1610612744,Golden State Warriors,0.695,2018-19,3,8,0.385,6.5,6.5,101.74,0.596,0.565,20.4,0.257,0.727,0.505,0.139,16.3,12.5,19.1,43.2,17.4,13.8,15.1,47.1,0.227,0.565,0.257,0.139,0
1610612761,Toronto Raptors,0.707,2018-19,8,11,0.366,6.1,5.8,100.51,0.579,0.543,18.2,0.265,0.726,0.502,0.138,17.2,12.7,18.4,48.5,15.9,12.9,13.5,47.5,0.247,0.543,0.265,0.138,1
1610612747,Los Angeles Lakers,0.732,2019-20,23,23,0.349,5.8,5.6,101.2,0.573,0.542,18.0,0.283,0.737,0.512,0.149,19.0,14.1,18.4,52.8,17.4,12.0,16.5,45.8,0.276,0.542,0.283,0.149,1
1610612748,Miami Heat,0.603,2019-20,6,9,0.379,2.9,2.7,98.7,0.587,0.547,18.8,0.257,0.753,0.512,0.149,16.2,11.8,11.3,43.9,17.9,12.8,11.4,44.1,0.299,0.547,0.257,0.149,0
1610612756,Phoenix Suns,0.708,2020-21,13,15,0.378,5.8,5.9,98.0,0.597,0.564,19.6,0.248,0.741,0.5,0.126,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4,0.212,0.564,0.248,0.126,0
1610612749,Milwaukee Bucks,0.639,2020-21,5,8,0.389,5.9,5.8,102.85,0.593,0.566,18.0,0.269,0.755,0.519,0.134,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1,0.233,0.566,0.269,0.134,1
1610612738,Boston Celtics,0.622,2021-22,8,9,0.356,7.3,7.4,97.26,0.578,0.542,18.2,0.277,0.725,0.509,0.139,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,0.239,0.542,0.277,0.139,0
1610612744,Golden State Warriors,0.646,2021-22,3,3,0.364,5.5,5.5,98.74,0.582,0.552,19.5,0.269,0.736,0.51,0.15,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,0.235,0.552,0.269,0.15,1
1610612748,Miami Heat,0.537,2022-23,17,10,0.344,-0.3,-0.5,96.76,0.574,0.53,17.8,0.274,0.733,0.498,0.138,18.2,12.9,11.5,46.4,15.9,12.0,12.5,46.2,0.27,0.53,0.274,0.138,0
1610612743,Denver Nuggets,0.646,2022-23,18,25,0.379,3.3,3.3,98.74,0.601,0.573,20.5,0.289,0.727,0.514,0.147,15.9,13.0,16.2,55.0,17.4,13.4,13.7,52.5,0.259,0.573,0.289,0.147,1
1610612738,Boston Celtics,0.78,2023-24,1,1,0.388,11.3,11.7,97.98,0.609,0.578,19.3,0.287,0.726,0.515,0.121,15.5,14.5,15.3,47.0,13.3,13.6,13.0,47.7,0.224,0.578,0.287,0.121,1
1610612742,Dallas Mavericks,0.61,2023-24,3,2,0.369,2.2,2.1,100.6,0.592,0.562,18.5,0.257,0.711,0.485,0.124,16.5,13.4,15.8,47.4,15.1,14.3,15.7,51.0,0.251,0.562,0.257,0.124,0
